season,analysis_period,FlightDate,period_day,flights,disruption_rate,delay15_rate,cancellation_rate,diversion_rate
2023-2024,Thanksgiving Week,2023-11-19,0,19734,18.222357352792134,18.014594101550625,0.14188709840883754,0.06587615283267458
2023-2024,Thanksgiving Week,2023-11-20,1,19580,16.96629213483146,16.629213483146067,0.16853932584269662,0.16853932584269662
2023-2024,Thanksgiving Week,2023-11-21,2,19743,20.690877779466142,20.326191561566127,0.2633844907055665,0.10130172719444866
2023-2024,Thanksgiving Week,2023-11-22,3,20080,13.98406374501992,13.774900398406375,0.049800796812749,0.1593625498007968
2023-2024,Thanksgiving Week,2023-11-23,4,11417,4.721030042918455,4.677235701147412,0.017517736708417272,0.02627660506262591
2023-2024,Thanksgiving Week,2023-11-24,5,17066,11.508262041485995,11.396929567561234,0.05859603890776984,0.05273643501699286
2023-2024,Thanksgiving Week,2023-11-25,6,19358,16.38082446533733,16.096704204979854,0.17563797913007542,0.10848228122739953
2023-2024,Thanksgiving Week,2023-11-26,7,20578,29.12333560112742,28.79774516473904,0.11662941004956749,0.20896102633880842
2023-2024,Christmas Week,2023-12-21,0,19752,15.269339813689752,14.833940866747671,0.2733900364520049,0.16200891049007696
2023-2024,Christmas Week,2023-12-22,1,19840,19.692540322580644,19.1179435483871,0.3125,0.26209677419354843
2023-2024,Christmas Week,2023-12-23,2,18744,21.10008536064874,19.595603926589842,1.0990183525394792,0.4054630815194195
2023-2024,Christmas Week,2023-12-24,3,15961,19.378485057327236,16.765866800325792,2.224171417830963,0.38844683917047806
2023-2024,Christmas Week,2023-12-25,4,16326,13.73269631263016,12.513781697905182,0.9432806566213403,0.27563395810363833
2023-2024,Christmas Week,2023-12-26,5,19207,28.447961680637267,27.33378455771333,0.8174103191544749,0.2967668037694591
2023-2024,Christmas Week,2023-12-27,6,19147,27.826813600041785,26.975505301091555,0.6371755366375934,0.21413276231263384
2023-2024,Christmas Week,2023-12-28,7,19185,22.011988532707843,21.746155850925202,0.18243419338024497,0.0833984884023977
2023-2024,New Year's Week,2023-12-29,0,19283,17.823990043043096,17.533578799979257,0.18669294196961053,0.10371830109422808
2023-2024,New Year's Week,2023-12-30,1,18504,15.888456549935148,15.639861651534803,0.12429744920017292,0.12429744920017292
2023-2024,New Year's Week,2023-12-31,2,16752,13.974450811843361,13.753581661891118,0.14326647564469913,0.07760267430754537
2023-2024,New Year's Week,2024-01-01,3,17265,11.456704315088329,11.317694758181291,0.10425716768027803,0.03475238922675934
2023-2024,New Year's Week,2024-01-02,4,18977,18.701586130579123,18.41176160615482,0.13173842019286505,0.15808610423143804
2023-2024,New Year's Week,2024-01-03,5,18520,18.207343412526996,18.012958963282937,0.10259179265658747,0.091792656587473
2023-2024,New Year's Week,2024-01-04,6,18066,12.232923724122662,11.734750359791875,0.3597918742389018,0.1383814900918853
2023-2024,Jan 15-30 Baseline,2024-01-15,0,18620,58.02900107411385,41.611170784103116,15.907626208378087,0.5102040816326531
