season,analysis_period,late_day_flights,late_day_disruption_rate
2023-2024,Thanksgiving Week,49006.0,23.611394523119618
2023-2024,Christmas Week,50522.0,27.00407743161395
2023-2024,New Year's Week,43201.0,19.82824471655749
2023-2024,Jan 15-30 Baseline,92387.0,30.50753893946118
2024-2025,Thanksgiving Week,52096.0,21.531403562653562
2024-2025,Christmas Week,51046.0,33.37773772675626
2024-2025,New Year's Week,44652.0,31.519304846367465
2024-2025,Jan 15-30 Baseline,88292.0,20.039188148416617
2025-2026,Thanksgiving Week,50960.0,33.57535321821036
2025-2026,Christmas Week,50587.0,35.98750667167454
2025-2026,New Year's Week,45431.0,40.39312363804451
2025-2026,Jan 15-30 Baseline,89282.0,32.498151923120005
