season,analysis_period,flights,disruption_rate,delay15_rate,cancellation_rate,diversion_rate,avg_arr_delay,median_arr_delay
2023-2024,Thanksgiving Week,147556,17.266664859443196,17.017945729079127,0.13079779880181083,0.11792133156225432,1.4306707702341888,-8.0
2023-2024,Christmas Week,148162,21.076929307109786,20.046975607780674,0.7728027429435348,0.25715095638557794,4.566252489156824,-6.0
2023-2024,New Year's Week,127367,15.566826572032003,15.29674091405152,0.16487787260436376,0.10520778537611783,-1.0021098541209073,-8.0
2023-2024,Jan 15-30 Baseline,281684,27.229448601979524,22.763096235497933,4.217136933585152,0.24921543289643713,10.584664607975386,-5.0
2024-2025,Thanksgiving Week,155808,16.68592113370302,16.441389402341343,0.14825939617991374,0.09627233518176216,1.5679000431070536,-8.0
2024-2025,Christmas Week,151518,27.25682757164165,25.816074657796435,1.1127390805052866,0.3280138333399332,13.115331302106004,-4.0
2024-2025,New Year's Week,131488,24.513263567778047,23.41658554392796,0.7202178145534194,0.37646020929666585,9.02975101118066,-5.0
2024-2025,Jan 15-30 Baseline,273873,16.961146224709996,14.604579494875361,2.1772865525261706,0.1792801773084605,-0.8567042730696024,-10.0
2025-2026,Thanksgiving Week,153460,25.078196272644337,22.914114427212304,1.9288413918936531,0.23524045353838136,10.178980811115034,-6.0
2025-2026,Christmas Week,150206,27.780514759729968,25.336537821391953,2.1590349253691596,0.28494201296885613,11.283311154331729,-4.0
2025-2026,New Year's Week,133085,31.192095277454257,29.164819476274563,1.7612803847165344,0.26599541646316266,15.134660664023254,-2.0
2025-2026,Jan 15-30 Baseline,279164,28.59501941511083,20.634465762061012,7.780731039818887,0.17982261323093238,9.548281512098107,-6.0
