season,FlightDate,analysis_period,Origin,DepTimeBlk,flights,avg_risk_score,risk_score_sum,actual_disruption_rate,actual_delay15_rate,actual_cancellation_rate,recommendation,avg_risk_score_pct,actual_disruption_rate_pct,actual_delay15_rate_pct,actual_cancellation_rate_pct
2025-2026,2025-12-27,Christmas Week,FLL,2000-2059,33,0.7046966515474484,23.254989501065797,0.9696969696969697,0.8787878787878788,0.09090909090909091,Extra on-call coverage,70.46966515474485,96.96969696969697,87.87878787878788,9.090909090909092
2025-2026,2025-12-28,Christmas Week,FLL,2000-2059,34,0.6977970652300453,23.725100217821538,0.8823529411764706,0.8529411764705882,0.029411764705882353,Extra on-call coverage,69.77970652300452,88.23529411764706,85.29411764705883,2.941176470588235
2025-2026,2025-12-26,Christmas Week,FLL,2000-2059,32,0.6851829625346894,21.92585480111006,0.9375,0.65625,0.28125,Extra on-call coverage,68.51829625346893,93.75,65.625,28.125
2025-2026,2025-12-28,Christmas Week,MCO,2000-2059,32,0.6824936935952626,21.839798195048402,0.71875,0.71875,0.0,Extra on-call coverage,68.24936935952626,71.875,71.875,0.0
2025-2026,2025-12-28,Christmas Week,MCO,2100-2159,25,0.6793475150593451,16.98368787648363,0.8,0.8,0.0,Extra on-call coverage,67.93475150593451,80.0,80.0,0.0
2025-2026,2025-12-27,Christmas Week,FLL,1800-1859,26,0.6763433819765422,17.584927931390098,0.9230769230769231,0.7692307692307693,0.11538461538461539,Extra on-call coverage,67.63433819765422,92.3076923076923,76.92307692307693,11.538461538461538
2025-2026,2025-12-21,Christmas Week,FLL,2000-2059,34,0.6763272697870545,22.99512717275985,0.5882352941176471,0.5588235294117647,0.029411764705882353,Extra on-call coverage,67.63272697870545,58.82352941176471,55.88235294117647,2.941176470588235
2025-2026,2025-12-27,Christmas Week,DFW,2000-2059,53,0.6755799841468418,35.80573915978262,0.32075471698113206,0.3018867924528302,0.0,Extra on-call coverage,67.55799841468418,32.075471698113205,30.18867924528302,0.0
2025-2026,2025-12-27,Christmas Week,MIA,2000-2059,25,0.6751846304014606,16.879615760036515,0.68,0.68,0.0,Extra on-call coverage,67.51846304014606,68.0,68.0,0.0
2025-2026,2025-12-27,Christmas Week,CLT,2000-2059,46,0.6726856982953056,30.943542121584056,0.3695652173913043,0.34782608695652173,0.0,Extra on-call coverage,67.26856982953055,36.95652173913043,34.78260869565217,0.0
2025-2026,2025-12-28,Christmas Week,FLL,1800-1859,25,0.6703572159761406,16.758930399403514,0.96,0.92,0.04,Extra on-call coverage,67.03572159761406,96.0,92.0,4.0
2025-2026,2025-12-27,Christmas Week,DFW,1900-1959,59,0.6687375003003286,39.45551251771939,0.423728813559322,0.3728813559322034,0.01694915254237288,Extra on-call coverage,66.87375003003287,42.3728813559322,37.28813559322034,1.694915254237288
2025-2026,2025-12-27,Christmas Week,MCO,1900-1959,36,0.6683222613054017,24.059601406994464,0.8611111111111112,0.8333333333333334,0.027777777777777776,Extra on-call coverage,66.83222613054018,86.11111111111111,83.33333333333334,2.7777777777777777
2025-2026,2025-12-27,Christmas Week,DFW,2100-2159,51,0.667351436587044,34.03492326593924,0.39215686274509803,0.39215686274509803,0.0,Extra on-call coverage,66.7351436587044,39.21568627450981,39.21568627450981,0.0
2025-2026,2025-12-28,Christmas Week,DFW,2000-2059,52,0.6672287938876302,34.69589728215677,0.46153846153846156,0.46153846153846156,0.0,Extra on-call coverage,66.72287938876302,46.15384615384615,46.15384615384615,0.0
2025-2026,2025-12-27,Christmas Week,DEN,2000-2059,49,0.6659031134719104,32.62925256012361,0.46938775510204084,0.4489795918367347,0.0,Extra on-call coverage,66.59031134719105,46.93877551020408,44.89795918367347,0.0
2025-2026,2025-12-28,Christmas Week,DEN,2000-2059,66,0.6658562893078682,43.9465150943193,0.5606060606060606,0.5606060606060606,0.0,Extra on-call coverage,66.58562893078683,56.060606060606055,56.060606060606055,0.0
2025-2026,2025-12-28,Christmas Week,CLT,2000-2059,51,0.6655242324838573,33.94173585667672,0.5294117647058824,0.49019607843137253,0.0392156862745098,Extra on-call coverage,66.55242324838572,52.94117647058824,49.01960784313725,3.9215686274509802
2025-2026,2025-12-27,Christmas Week,DFW,2200-2259,43,0.6650357343161988,28.59653657559655,0.3488372093023256,0.3488372093023256,0.0,Extra on-call coverage,66.50357343161988,34.883720930232556,34.883720930232556,0.0
2025-2026,2025-12-26,Christmas Week,MCO,2100-2159,26,0.6648774110783463,17.286812688037003,0.8846153846153846,0.7307692307692307,0.15384615384615385,Extra on-call coverage,66.48774110783464,88.46153846153845,73.07692307692307,15.384615384615385
2025-2026,2025-12-26,Christmas Week,MCO,2000-2059,32,0.6639825898053301,21.247442873770563,0.71875,0.59375,0.125,Extra on-call coverage,66.39825898053302,71.875,59.375,12.5
2025-2026,2025-12-27,Christmas Week,MIA,1900-1959,35,0.6636187649057911,23.226656771702686,0.5714285714285714,0.5142857142857142,0.05714285714285714,Extra on-call coverage,66.3618764905791,57.14285714285714,51.42857142857142,5.714285714285714
2025-2026,2025-12-28,Christmas Week,FLL,1600-1659,27,0.6631825970036012,17.90593011909723,0.8518518518518519,0.8518518518518519,0.0,Extra on-call coverage,66.31825970036012,85.18518518518519,85.18518518518519,0.0
