season,analysis_period,DepTimeBlk,flights,disruption_rate,delay15_rate,cancellation_rate
2023-2024,Thanksgiving Week,0001-0559,5322,11.856444945509208,11.687335588124766,0.13152950018789927
2023-2024,Thanksgiving Week,0600-0659,10494,9.872307985515533,9.71031065370688,0.0952925481227368
2023-2024,Thanksgiving Week,0700-0759,10104,10.777909738717339,10.560174188440222,0.0791765637371338
2023-2024,Thanksgiving Week,0800-0859,9752,11.38228055783429,11.074651353568498,0.11279737489745695
2023-2024,Thanksgiving Week,0900-0959,8554,12.906242693476736,12.719195697919103,0.0701426233341127
2023-2024,Thanksgiving Week,1000-1059,9254,13.767019667170954,13.63734601253512,0.07564296520423601
2023-2024,Thanksgiving Week,1100-1159,9163,15.235184983084144,15.049656226126814,0.07639419404125286
2023-2024,Thanksgiving Week,1200-1259,8744,15.096065873741995,14.855901189387009,0.08005489478499542
2023-2024,Thanksgiving Week,1300-1359,8860,17.200902934537247,16.873589164785553,0.14672686230248305
2023-2024,Thanksgiving Week,1400-1459,8493,18.426939832803484,18.156128576474746,0.1412928293889085
2023-2024,Thanksgiving Week,1500-1559,8304,19.002890173410407,18.786127167630056,0.09633911368015415
2023-2024,Thanksgiving Week,1600-1659,8327,20.75177134622313,20.631680076858412,0.06004563468235859
2023-2024,Thanksgiving Week,1700-1759,8470,22.302243211334122,22.0543093270366,0.1770956316410862
2023-2024,Thanksgiving Week,1800-1859,8977,24.540492369388435,24.22858415951877,0.1893728417065835
2023-2024,Thanksgiving Week,1900-1959,7499,23.949859981330846,23.57647686358181,0.20002667022269638
2023-2024,Thanksgiving Week,2000-2059,6602,26.40109057861254,26.00727052408361,0.2574977279612239
2023-2024,Thanksgiving Week,2100-2159,5354,23.870003735524843,23.62719462084423,0.09338812103100486
2023-2024,Thanksgiving Week,2200-2259,3777,24.728620598358486,24.14614773629865,0.47656870532168394
2023-2024,Thanksgiving Week,2300-2359,1506,18.59229747675963,18.260292164674635,0.33200531208499334
2023-2024,Christmas Week,0001-0559,5876,12.576582709326074,11.317222600408442,0.9870660313138189
2023-2024,Christmas Week,0600-0659,10243,11.481011422434834,10.260665820560384,0.868886068534609
2023-2024,Christmas Week,0700-0759,9815,13.367294956698931,12.256749872643912,0.7233825776872135
2023-2024,Christmas Week,0800-0859,9649,16.468027774898953,15.514561094413928,0.5181884133070784
2023-2024,Christmas Week,0900-0959,8376,17.418815663801336,16.60697230181471,0.5372492836676217
2023-2024,Christmas Week,1000-1059,9147,18.825844539193177,18.224554498742755,0.49196457855034437
2023-2024,Christmas Week,1100-1159,8814,18.697526662128432,18.107556160653505,0.37440435670524164
2023-2024,Christmas Week,1200-1259,8664,20.406278855032316,19.829178208679593,0.43859649122807015
2023-2024,Christmas Week,1300-1359,8666,22.317101315485807,21.624740364643433,0.5538887606738979
2023-2024,Christmas Week,1400-1459,8537,21.810940611456015,21.014407871617664,0.5973995548787631
2023-2024,Christmas Week,1500-1559,8397,23.806121233773965,22.71049184232464,0.7621769679647493
2023-2024,Christmas Week,1600-1659,8385,23.97137745974955,23.19618366129994,0.6082289803220036
2023-2024,Christmas Week,1700-1759,8637,23.792983674887115,22.73937709852958,0.8104665971981012
2023-2024,Christmas Week,1800-1859,9192,26.74064403829417,25.402523933855527,1.0879025239338556
2023-2024,Christmas Week,1900-1959,7760,28.81443298969072,27.255154639175256,1.2371134020618557
2023-2024,Christmas Week,2000-2059,6727,29.195778207224617,27.54571131262078,1.3081611416679053
2023-2024,Christmas Week,2100-2159,5551,29.724373986669068,27.86885245901639,1.6753738065213475
2023-2024,Christmas Week,2200-2259,4270,29.7423887587822,28.2903981264637,1.2412177985948478
2023-2024,Christmas Week,2300-2359,1456,25.892857142857146,25.549450549450547,0.13736263736263737
2023-2024,New Year's Week,0001-0559,4751,9.745316775415702,9.471690170490422,0.18943380340980845
2023-2024,New Year's Week,0600-0659,8824,9.066183136899365,8.896192203082503,0.09066183136899365
2023-2024,New Year's Week,0700-0759,8453,10.990181000828109,10.635277416301903,0.22477227019992901
2023-2024,New Year's Week,0800-0859,8384,12.643129770992367,12.23759541984733,0.2504770992366412
2023-2024,New Year's Week,0900-0959,7239,13.372012708937698,13.220058019063408,0.06907031357922365
2023-2024,New Year's Week,1000-1059,7919,13.537062760449553,13.28450561939639,0.1767899987372143
2023-2024,New Year's Week,1100-1159,7648,13.192991631799163,12.918410041841005,0.15690376569037656
2023-2024,New Year's Week,1200-1259,7500,14.613333333333333,14.346666666666666,0.16
2023-2024,New Year's Week,1300-1359,7532,16.171003717472118,15.905469994689325,0.15932023366967604
2023-2024,New Year's Week,1400-1459,7399,15.934585754831735,15.74537099608055,0.13515339910798757
2023-2024,New Year's Week,1500-1559,7290,16.83127572016461,16.570644718792867,0.10973936899862827
2023-2024,New Year's Week,1600-1659,7244,19.43677526228603,19.13307564881281,0.17945886250690227
2023-2024,New Year's Week,1700-1759,7554,18.162562880593065,17.950754567116757,0.18533227429176596
2023-2024,New Year's Week,1800-1859,7971,19.909672563041024,19.621126583866516,0.1505457282649605
2023-2024,New Year's Week,1900-1959,6640,21.084337349397593,20.843373493975903,0.15060240963855423
2023-2024,New Year's Week,2000-2059,5780,21.3840830449827,20.986159169550174,0.31141868512110726
2023-2024,New Year's Week,2100-2159,4823,20.00829359319925,19.718017831225378,0.12440389798880364
2023-2024,New Year's Week,2200-2259,3189,18.751959862025714,18.407024145500156,0.15678896205707119
2023-2024,New Year's Week,2300-2359,1227,19.559902200489,19.396903015484924,0.16299918500407498
2023-2024,Jan 15-30 Baseline,0001-0559,7588,20.901423299947286,16.06483921982077,4.678439641539272
2023-2024,Jan 15-30 Baseline,0600-0659,20756,19.5654268645211,14.877625746772019,4.528810946232414
2023-2024,Jan 15-30 Baseline,0700-0759,19555,22.188698542572233,16.80900025568908,5.093326514957811
2023-2024,Jan 15-30 Baseline,0800-0859,19023,24.191767859958997,19.1767859958997,4.6207222835514905
2023-2024,Jan 15-30 Baseline,0900-0959,16215,24.9213691026827,20.394696268886833,4.162812210915819
2023-2024,Jan 15-30 Baseline,1000-1059,18290,26.93821760524877,22.367413887370148,4.297430289775834
2023-2024,Jan 15-30 Baseline,1100-1159,17609,26.53756601737748,22.59639956840252,3.691294224544267
2023-2024,Jan 15-30 Baseline,1200-1259,17271,27.85594348908575,23.721845868797406,3.873545249261768
2023-2024,Jan 15-30 Baseline,1300-1359,17811,28.555387120318905,24.653304137892317,3.761720285217001
2023-2024,Jan 15-30 Baseline,1400-1459,16792,30.04406860409719,25.738446879466416,4.103144354454502
2023-2024,Jan 15-30 Baseline,1500-1559,16565,29.833987322668275,26.47751282825234,3.084817386054935
2023-2024,Jan 15-30 Baseline,1600-1659,16813,30.619163742342238,26.32486766192827,4.145601617795753
2023-2024,Jan 15-30 Baseline,1700-1759,17888,31.445661896243294,26.8783542039356,4.343694096601073
2023-2024,Jan 15-30 Baseline,1800-1859,17936,31.868867082961643,27.19112399643176,4.510481712756468
2023-2024,Jan 15-30 Baseline,1900-1959,14860,31.433378196500673,26.67563930013459,4.454912516823688
2023-2024,Jan 15-30 Baseline,2000-2059,11497,30.573193006871357,25.432721579542488,4.8186483430460125
2023-2024,Jan 15-30 Baseline,2100-2159,8504,27.445907808090308,23.682972718720603,3.3513640639698963
2023-2024,Jan 15-30 Baseline,2200-2259,4889,24.053998772755165,19.73818776845981,4.111270198404582
2023-2024,Jan 15-30 Baseline,2300-2359,1822,22.1185510428101,17.947310647639956,4.061470911086718
2024-2025,Thanksgiving Week,0001-0559,5485,8.659981768459435,8.404740200546946,0.14585232452142208
2024-2025,Thanksgiving Week,0600-0659,10981,10.272288498315271,10.026409252344958,0.1001730261360532
2024-2025,Thanksgiving Week,0700-0759,10828,11.904322127816771,11.691909863317324,0.11082379017362395
2024-2025,Thanksgiving Week,0800-0859,10651,13.322692704910338,13.078584170500424,0.131443056989954
2024-2025,Thanksgiving Week,0900-0959,8882,13.803197478045485,13.566764242287773,0.11258725512272011
2024-2025,Thanksgiving Week,1000-1059,9299,14.732766964189697,14.517690074201528,0.11829228949349392
2024-2025,Thanksgiving Week,1100-1159,10096,14.63946117274168,14.411648177496039,0.16838351822503964
2024-2025,Thanksgiving Week,1200-1259,9332,15.848692670381483,15.634376339477068,0.16073724817831117
2024-2025,Thanksgiving Week,1300-1359,9135,16.354679802955665,16.17952928297756,0.12041598248494799
2024-2025,Thanksgiving Week,1400-1459,8850,17.52542372881356,17.28813559322034,0.11299435028248588
2024-2025,Thanksgiving Week,1500-1559,8646,19.130233634050427,18.898912792042562,0.09252833680314597
2024-2025,Thanksgiving Week,1600-1659,8698,20.395493216831458,20.16555530006898,0.17245343757185558
2024-2025,Thanksgiving Week,1700-1759,9321,20.899045166827594,20.652290526767516,0.1823838643922326
2024-2025,Thanksgiving Week,1800-1859,9097,22.69979113993624,22.391997361767615,0.18687479388809497
2024-2025,Thanksgiving Week,1900-1959,8250,22.44848484848485,22.181818181818183,0.1696969696969697
2024-2025,Thanksgiving Week,2000-2059,7276,22.07256734469489,21.77020340846619,0.21990104452996154
2024-2025,Thanksgiving Week,2100-2159,5286,21.03670071888006,20.715096481271285,0.24593265228906544
2024-2025,Thanksgiving Week,2200-2259,4168,20.633397312859884,20.393474088291747,0.19193857965451055
2024-2025,Thanksgiving Week,2300-2359,1527,14.276358873608382,13.7524557956778,0.26195153896529144
2024-2025,Christmas Week,0001-0559,5846,15.172767704413273,13.872733492986658,0.8039685254875127
2024-2025,Christmas Week,0600-0659,10450,17.5311004784689,15.712918660287082,0.9473684210526316
2024-2025,Christmas Week,0700-0759,10507,19.881983439611687,18.463881222042446,0.8375368801751213
2024-2025,Christmas Week,0800-0859,10229,22.260240492716786,20.66673184084466,1.0460455567504154
2024-2025,Christmas Week,0900-0959,8536,23.172446110590442,21.965791940018743,0.8083411433926898
2024-2025,Christmas Week,1000-1059,8806,26.368385191914605,24.66500113558937,1.4194867136043607
2024-2025,Christmas Week,1100-1159,9637,25.547369513334022,24.125765279651343,1.1310573830030093
2024-2025,Christmas Week,1200-1259,8974,28.19255627367952,26.064185424559838,1.816358368620459
2024-2025,Christmas Week,1300-1359,8674,27.565137191607104,26.331565598339868,1.106755821996772
2024-2025,Christmas Week,1400-1459,8751,29.79088104216661,28.30533653296766,1.2912809964575478
2024-2025,Christmas Week,1500-1559,8623,29.328539951293052,28.099269395801922,1.0785109590629711
2024-2025,Christmas Week,1600-1659,8754,31.65410098240804,30.29472241261138,1.29083847384053
2024-2025,Christmas Week,1700-1759,8806,31.1832841244606,30.00227117874177,1.0447422212128095
2024-2025,Christmas Week,1800-1859,9159,33.377006223386836,32.04498307675511,1.1464133639043563
2024-2025,Christmas Week,1900-1959,7940,33.476070528967256,32.204030226700255,1.0075566750629723
2024-2025,Christmas Week,2000-2059,7166,36.42199274351102,34.92883058889199,1.2140664247837007
2024-2025,Christmas Week,2100-2159,5290,34.99054820415879,33.47826086956522,1.11531190926276
2024-2025,Christmas Week,2200-2259,3931,34.215212414143984,33.07046553039939,0.9921139659119816
2024-2025,Christmas Week,2300-2359,1439,24.80889506601807,24.600416956219597,0.13898540653231412
2024-2025,New Year's Week,0001-0559,4935,12.056737588652481,11.063829787234042,0.60790273556231
2024-2025,New Year's Week,0600-0659,8997,13.926864510392353,12.437479159719906,0.9225297321329331
2024-2025,New Year's Week,0700-0759,9052,16.81396376491383,15.510384445426425,0.7291206363234645
2024-2025,New Year's Week,0800-0859,8863,18.955207040505474,17.702809432472076,0.755951709353492
2024-2025,New Year's Week,0900-0959,7397,20.0486683790726,19.14289576855482,0.5813167500337976
2024-2025,New Year's Week,1000-1059,7629,20.775986367807054,19.937082186394022,0.49809935771398617
2024-2025,New Year's Week,1100-1159,8354,22.863299018434283,22.0971989466124,0.5985156811108452
2024-2025,New Year's Week,1200-1259,7767,23.973220033474956,23.1363460795674,0.5278743401570748
2024-2025,New Year's Week,1300-1359,7503,25.349860055977608,24.483539917366386,0.6130880980940957
2024-2025,New Year's Week,1400-1459,7648,26.372907949790797,25.77144351464435,0.4314853556485356
2024-2025,New Year's Week,1500-1559,7455,28.598256203890003,27.873910127431255,0.49631120053655264
2024-2025,New Year's Week,1600-1659,7622,29.664130149567043,28.667016531094202,0.7740750459197061
2024-2025,New Year's Week,1700-1759,7764,30.25502318392581,29.404945904173108,0.6182380216383307
2024-2025,New Year's Week,1800-1859,8022,31.712789827973076,30.416355023684865,0.8102717526801296
